DatasetName                                                                             PROC_XSEC[pb]       Uncertainty[pb]     NumberOfEvents
WZ_TuneCUETP8M1_13TeV-pythia8                                                           23.43               0.01048             1000000
GJets_HT-40To100_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                                 20660.0             59.61               4467985
GJets_HT-100To200_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                                9249.0              27.3                5131873
GJets_HT-200To400_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                                2321.0              6.942               10036487   
GJets_HT-400To600_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                                275.2               0.831               2529729   
GJets_HT-600ToInf_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                                93.19               0.2826              2463946
Data_MET_Run2016B-23Sep2016                                                             1                   0                   33614010
Data_MET_Run2016C-23Sep2016                                                             1                   0                   16215837
Data_MET_Run2016D-23Sep2016                                                             1                   0                   20284873
Data_MET_Run2016E-23Sep2016                                                             1                   0                   21177866
Data_MET_Run2016F-23Sep2016                                                             1                   0                   12997533
Data_MET_Run2016G-23Sep2016                                                             1                   0                   25726953
Data_MET_Run2016H-Prompt                                                                1                   0                   36417879
#############################################################################           #######             #######             ########
Signal_750_80_Summer16                                                                  2.12047             0.00081             -999
Signal_gogo_750_80_Summer16                                                             1.01632             0.00038             -999
